#{"t_start": 1774554981.1472578, "env_id": "None"}
r,l,t,is_success,done_reason,reached_grasped,reached_on_belt,grasped_ratio,on_belt_ratio
-250.0,500,16.550685,False,max_steps,False,False,0.0,0.0
-249.5337,500,16.550691,False,max_steps,False,False,0.0,0.0
-274.0003,500,16.550696,False,max_steps,False,False,0.0,0.0
-252.40002,500,17.585746,False,max_steps,False,False,0.0,0.0
-222.78716,500,17.809516,False,max_steps,False,False,0.0,0.0
-249.02428,500,17.809709,False,max_steps,False,False,0.0,0.0
-244.24638,500,17.809736,False,max_steps,False,False,0.0,0.0
-250.93898,500,17.809743,False,max_steps,False,False,0.0,0.0
-250.0,500,17.809749,False,max_steps,False,False,0.0,0.0
-254.5,500,17.809755,False,max_steps,False,False,0.0,0.0
-250.53677,500,17.809761,False,max_steps,False,False,0.0,0.0
-248.36304,500,17.809768,False,max_steps,False,False,0.0,0.0
-271.65173,500,17.809774,False,max_steps,False,False,0.0,0.0
-252.42357,500,18.903621,False,max_steps,False,False,0.0,0.0
-260.75946,500,19.135129,False,max_steps,False,False,0.0,0.0
-185.62592,500,19.135217,False,max_steps,True,False,0.142,0.0
-250.90001,500,19.135242,False,max_steps,False,False,0.0,0.0
-262.6678,500,19.13525,False,max_steps,False,False,0.0,0.0
-277.20102,500,19.135256,False,max_steps,False,False,0.0,0.0
-246.05547,500,19.135263,False,max_steps,False,False,0.0,0.0
-261.21695,500,19.135269,False,max_steps,False,False,0.0,0.0
-239.0165,500,19.135275,False,max_steps,False,False,0.0,0.0
-252.50015,500,19.13528,False,max_steps,False,False,0.0,0.0
-242.2181,500,20.199513,False,max_steps,False,False,0.0,0.0
-267.5172,500,20.425391,False,max_steps,False,False,0.0,0.0
-250.0,500,20.425475,False,max_steps,False,False,0.0,0.0
-247.74889,500,20.425499,False,max_steps,False,False,0.0,0.0
-250.0,500,20.425507,False,max_steps,False,False,0.0,0.0
-245.33531,500,20.425513,False,max_steps,False,False,0.0,0.0
-247.89388,500,20.425518,False,max_steps,False,False,0.0,0.0
-241.51859,500,20.425522,False,max_steps,False,False,0.0,0.0
-250.0,500,20.425527,False,max_steps,False,False,0.0,0.0
-245.49039,500,20.425532,False,max_steps,False,False,0.0,0.0
-252.4281,500,21.489099,False,max_steps,False,False,0.0,0.0
-250.0,500,21.72225,False,max_steps,False,False,0.0,0.0
-253.98932,500,21.722352,False,max_steps,False,False,0.0,0.0
-246.88173,500,21.722373,False,max_steps,False,False,0.0,0.0
-255.40613,500,21.72238,False,max_steps,False,False,0.0,0.0
-256.19998,500,21.722386,False,max_steps,False,False,0.0,0.0
-257.5107,500,21.72239,False,max_steps,False,False,0.0,0.0
-269.16876,500,21.722395,False,max_steps,False,False,0.0,0.0
-238.92845,500,21.722399,False,max_steps,False,False,0.0,0.0
-245.95322,500,21.722404,False,max_steps,False,False,0.0,0.0
-247.1605,500,22.815657,False,max_steps,False,False,0.0,0.0
-250.0,500,23.044685,False,max_steps,False,False,0.0,0.0
-239.07655,500,23.044772,False,max_steps,False,False,0.0,0.0
-255.40536,500,23.044793,False,max_steps,False,False,0.0,0.0
-254.5,500,23.0448,False,max_steps,False,False,0.0,0.0
-243.51721,500,23.044805,False,max_steps,True,False,0.022,0.0
-253.00003,500,23.044811,False,max_steps,False,False,0.0,0.0
-242.04099,500,23.044816,False,max_steps,False,False,0.0,0.0
-259.49185,500,23.044823,False,max_steps,False,False,0.0,0.0
-242.44876,500,23.044828,False,max_steps,False,False,0.0,0.0
-214.23341,500,24.089995,False,max_steps,False,False,0.0,0.0
-254.9699,500,24.330955,False,max_steps,False,False,0.0,0.0
-249.7763,500,24.331065,False,max_steps,False,False,0.0,0.0
-252.21959,500,24.331092,False,max_steps,False,False,0.0,0.0
-252.41608,500,24.331105,False,max_steps,False,False,0.0,0.0
-250.64766,500,24.331128,False,max_steps,False,False,0.0,0.0
-258.4556,500,24.331137,False,max_steps,False,False,0.0,0.0
-251.20001,500,24.331144,False,max_steps,False,False,0.0,0.0
-263.85623,500,24.331151,False,max_steps,False,False,0.0,0.0
-263.0199,500,24.331158,False,max_steps,False,False,0.0,0.0
-233.65826,500,25.407885,False,max_steps,False,False,0.0,0.0
-244.32178,500,25.631606,False,max_steps,False,False,0.0,0.0
-251.58362,500,25.631695,False,max_steps,False,False,0.0,0.0
-251.70207,500,25.63172,False,max_steps,False,False,0.0,0.0
-250.0,500,25.631728,False,max_steps,False,False,0.0,0.0
